"";"id";"name_market";"code_ticker";"code_symbol";"name_company";"code_isin";"date_lastTrade";"flag_active"
"26";29;"Euronext Growth Milan";"CML.MI";"CML";"COMAL";"IT0005428971";2023-12-05;TRUE
"27";30;"Euronext Growth Milan";"TIME.MI";"TIME";"COMPAGNIA  CARAIBI";"IT0005453235";2023-12-05;TRUE
"28";31;"Euronext Growth Milan";"CFV.MI";"CFV";"CONFINVEST";"IT0005379604";2023-12-05;TRUE
"29";32;"Euronext Growth Milan";"CVG.MI";"CVG";"CONVERGENZE";"IT0005426215";2023-12-04;TRUE
"30";33;"Euronext Growth Milan";"COP.MI";"COP";"COPERNICO";"IT0005379406";2023-12-05;TRUE
"31";34;"Euronext Growth Milan";"CREG.MI";"CREG";"CREACTIVES GROUP";"IT0005408593";2023-11-08;FALSE
"32";35;"Euronext Growth Milan";"CFM.MI";"CFM";"CROWDFUNDME";"IT0005353575";2023-12-05;TRUE
"33";36;"Euronext Growth Milan";"CUBE.MI";"CUBE";"CUBE LABS";"IT0005532483";2023-10-16;FALSE
"34";37;"Euronext Growth Milan";"CULT.MI";"CULT";"CULTI MILANO";"IT0005257347";2023-12-05;TRUE
"35";38;"Euronext Growth Milan";"CYB.MI";"CYB";"CYBEROO";"IT0005546103";2023-12-05;TRUE
"36";39;"Euronext Growth Milan";"DATA.MI";"DATA";"DATRIX";"IT0005468357";2023-12-05;TRUE
"37";40;"Euronext Growth Milan";"DBA.MI";"DBA";"DBA GROUP";"IT0005285942";2023-12-05;TRUE
